symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQH5,-2,0,0.25,167247892258,167247892284,1,21922.25,21913.50,$(175.00),01/23/2025 18:34:48,01/23/2025 18:35:28,40sec
NQH5,-2,0,0.25,167247892303,167247892321,1,21915.00,21921.00,$120.00,01/23/2025 18:35:34,01/23/2025 18:35:44,9sec
NQH5,-2,0,0.25,167247892379,167247892410,1,21921.00,21926.00,$100.00,01/23/2025 18:36:57,01/23/2025 18:37:05,8sec
NQH5,-2,0,0.25,167247892426,167247892457,1,21931.00,21932.25,$25.00,01/23/2025 18:37:40,01/23/2025 18:38:07,26sec
NQH5,-2,0,0.25,167247892506,167247892530,1,21924.75,21918.50,$(125.00),01/23/2025 18:41:03,01/23/2025 18:42:01,57sec
MNQH5,-2,0,0.25,167247892340,167247892539,1,21918.75,21918.50,$(0.50),01/23/2025 18:35:58,01/23/2025 18:42:01,6min 2sec
NQH5,-2,0,0.25,167247892587,167247892617,1,21918.25,21926.25,$160.00,01/23/2025 18:44:09,01/23/2025 18:45:30,1min 20sec
NQH5,-2,0,0.25,167247892653,167247892687,1,21934.25,21934.00,$(5.00),01/23/2025 18:47:17,01/23/2025 18:47:34,16sec
NQH5,-2,0,0.25,167247892706,167247892745,1,21930.50,21932.75,$45.00,01/23/2025 18:47:44,01/23/2025 18:48:06,22sec
NQH5,-2,0,0.25,167247892761,167247892787,1,21939.25,21938.25,$(20.00),01/23/2025 18:48:24,01/23/2025 18:49:00,36sec
NQH5,-2,0,0.25,167247892806,167247892832,1,21936.50,21930.50,$(120.00),01/23/2025 18:49:51,01/23/2025 18:50:19,28sec
NQH5,-2,0,0.25,167247892851,167247892889,1,21928.75,21928.75,$0.00,01/23/2025 18:50:34,01/23/2025 18:53:05,2min 31sec
NQH5,-2,0,0.25,167247892943,167247892908,1,21928.25,21934.50,$125.00,01/23/2025 18:55:01,01/23/2025 18:53:37,1min 24sec
NQH5,-2,0,0.25,167247892981,167247892959,1,21921.00,21919.25,$(35.00),01/23/2025 19:09:30,01/23/2025 19:08:52,37sec
NQH5,-2,0,0.25,167247893000,167247893026,1,21922.25,21916.25,$(120.00),01/23/2025 19:09:43,01/23/2025 19:09:56,12sec
NQH5,-2,0,0.25,167247893093,167247893065,1,21907.50,21913.50,$120.00,01/23/2025 19:11:40,01/23/2025 19:11:40,
NQH5,-2,0,0.25,167247893147,167247893125,1,21909.00,21911.75,$55.00,01/23/2025 19:12:12,01/23/2025 19:12:04,7sec
NQH5,-2,0,0.25,167247893190,167247893162,1,21916.75,21922.75,$120.00,01/23/2025 19:12:52,01/23/2025 19:12:49,3sec
NQH5,-2,0,0.25,167247893209,167247893240,1,21922.75,21927.25,$90.00,01/23/2025 19:18:26,01/23/2025 19:18:41,14sec
