Quantity,Symbol,Side,Pnl,Pts,Result,Drt Category,Session,ATR 1M,ATR 5M,Duration,Buy Price,Sell Price,Bought Time,Sold Time
2,MNQ,Short,-4.14,-0.25,Loss,0-30 sec,1-2 hour,29.0,79.2,24,21396.5,21396.25,2025-02-03 19:03:54,2025-02-03 19:03:29
2,MNQ,Short,-10.14,-1.75,Loss,30-120 sec,1-2 hour,29.0,79.2,34,21410.0,21408.25,2025-02-03 19:05:01,2025-02-03 19:04:26
2,MNQ,Short,52.86,14.0,Win,0-30 sec,1-2 hour,30.9,80.5,6,21341.0,21355.0,2025-02-03 19:05:58,2025-02-03 19:05:52
2,MNQ,Short,-62.14,-14.75,Loss,0-30 sec,1-2 hour,34.1,80.5,10,21395.25,21380.5,2025-02-03 19:06:46,2025-02-03 19:06:36
2,MNQ,Short,39.86,10.75,Win,0-30 sec,1-2 hour,34.1,80.5,21,21398.75,21409.5,2025-02-03 19:07:16,2025-02-03 19:06:55
2,MNQ,Short,45.86,12.25,Win,30-120 sec,2+ hour,20.6,60.4,50,21420.25,21432.5,2025-02-03 19:36:04,2025-02-03 19:35:14
2,MNQ,Short,52.08,14.0,Win,30-120 sec,2+ hour,20.0,60.4,81,21412.0,21426.0,2025-02-03 19:37:31,2025-02-03 19:36:10
2,MNQ,Short,-4.14,-0.25,Loss,2-5 min,30-60 min,18.4,41.6,135,21650.5,21650.25,2025-02-04 18:29:17,2025-02-04 18:27:02
4,MNQ,Long,65.72,9.0,Win,30-120 sec,1-2 hour,18.1,43.1,71,21628.0,21637.0,2025-02-04 18:30:14,2025-02-04 18:31:26
4,MNQ,Short,61.72,8.5,Win,30-120 sec,1-2 hour,18.1,43.1,52,21643.5,21652.0,2025-02-04 18:34:23,2025-02-04 18:33:31
1,MNQ,Short,25.43,13.5,Win,2-5 min,1-2 hour,17.7,41.4,151,21660.75,21674.25,2025-02-04 18:44:00,2025-02-04 18:41:28
4,MNQ,Long,39.72,5.75,Win,30-120 sec,2+ hour,10.5,27.4,32,21669.75,21675.5,2025-02-04 19:31:45,2025-02-04 19:32:18
4,MNQ,Short,73.72,10.0,Win,30-120 sec,2+ hour,9.2,26.4,42,21653.25,21663.25,2025-02-04 19:49:19,2025-02-04 19:48:37
2,MNQ,Short,-163.14,-40.0,Loss,5+ min,30-60 min,25.8,32.3,595,21557.25,21517.25,2025-02-05 18:14:54,2025-02-05 18:04:59
2,MNQ,Short,158.86,40.5,Win,2-5 min,30-60 min,26.0,38.5,197,21512.75,21553.25,2025-02-05 18:18:42,2025-02-05 18:15:24
2,MNQ,Short,94.86,24.5,Win,5+ min,1-2 hour,14.6,45.2,709,21571.5,21596.0,2025-02-05 18:51:10,2025-02-05 18:39:21
3,MNQ,Short,41.8,7.75,Win,30-120 sec,1-2 hour,11.9,34.7,41,21617.0,21624.75,2025-02-05 19:11:19,2025-02-05 19:10:37
3,MNQ,Short,-91.72,-14.5,Loss,30-120 sec,1-2 hour,13.2,32.6,59,21619.75,21605.25,2025-02-05 19:29:44,2025-02-05 19:28:44
3,MNQ,Short,79.28,14.0,Win,0-30 sec,2+ hour,13.1,30.8,12,21613.5,21627.5,2025-02-05 19:30:24,2025-02-05 19:30:11
4,MNQ,Long,12.93,2.5,Win,0-30 sec,2+ hour,13.2,30.8,11,21616.75,21619.25,2025-02-05 19:33:30,2025-02-05 19:33:42
1,MNQ,Short,-27.07,-12.75,Loss,5+ min,2+ hour,11.8,28.5,401,21664.0,21651.25,2025-02-05 19:46:47,2025-02-05 19:40:06
2,MNQ,Short,-124.14,-30.25,Loss,5+ min,2+ hour,10.1,29.4,484,21715.0,21684.75,2025-02-05 19:58:09,2025-02-05 19:50:04
2,MNQ,Short,-35.14,-8.0,Loss,30-120 sec,2+ hour,11.1,29.4,31,21716.0,21708.0,2025-02-05 20:00:15,2025-02-05 19:59:44
2,MNQ,Long,-9.14,-1.5,Loss,0-30 sec,2+ hour,8.4,26.9,23,21719.25,21717.75,2025-02-05 20:16:03,2025-02-05 20:16:27
2,MNQ,Long,17.86,5.25,Win,30-120 sec,2+ hour,9.0,24.1,56,21713.0,21718.25,2025-02-05 20:25:29,2025-02-05 20:26:26
1,NQ,Short,30.27,1.75,Win,0-30 sec,2+ hour,9.2,23.8,5,21708.75,21710.5,2025-02-05 20:34:25,2025-02-05 20:34:20
1,NQ,Short,-14.73,-0.5,Loss,0-30 sec,2+ hour,9.2,21.6,12,21699.25,21698.75,2025-02-05 20:39:11,2025-02-05 20:38:58
1,NQ,Short,20.27,1.25,Win,0-30 sec,2+ hour,7.9,20.2,12,21708.5,21709.75,2025-02-05 20:46:21,2025-02-05 20:46:08
1,NQ,Short,5.26,0.5,Win,0-30 sec,2+ hour,8.0,21.1,3,21691.0,21691.5,2025-02-05 20:51:38,2025-02-05 20:51:35
1,NQ,Long,40.27,2.25,Win,0-30 sec,2+ hour,8.5,29.3,15,21779.5,21781.75,2025-02-06 19:36:14,2025-02-06 19:36:29
1,NQ,Long,-124.72,-6.0,Loss,30-120 sec,2+ hour,9.6,28.1,44,21771.5,21765.5,2025-02-06 19:44:19,2025-02-06 19:45:04
1,NQ,Long,-124.72,-6.0,Loss,0-30 sec,2+ hour,10.3,24.3,14,21760.0,21754.0,2025-02-06 19:45:19,2025-02-06 19:45:34
1,NQ,Long,230.26,11.75,Win,30-120 sec,2+ hour,10.3,24.3,80,21760.0,21771.75,2025-02-06 19:45:51,2025-02-06 19:47:12
1,NQ,Long,55.27,3.0,Win,0-30 sec,2+ hour,9.5,21.7,24,21778.5,21781.5,2025-02-06 19:51:28,2025-02-06 19:51:53
1,NQ,Long,-39.73,-1.75,Loss,0-30 sec,2+ hour,9.4,21.7,21,21779.0,21777.25,2025-02-06 19:53:57,2025-02-06 19:54:18
1,NQ,Long,10.27,0.75,Win,30-120 sec,2+ hour,9.4,20.3,48,21768.25,21769.0,2025-02-06 19:59:08,2025-02-06 19:59:57
1,NQ,Short,0.26,0.25,Win,30-120 sec,2+ hour,9.2,19.6,45,21771.0,21771.25,2025-02-06 20:13:10,2025-02-06 20:12:24
1,NQ,Long,-84.72,-4.0,Loss,0-30 sec,2+ hour,9.0,19.6,29,21771.0,21767.0,2025-02-06 20:13:41,2025-02-06 20:14:11
1,NQ,Long,30.27,1.75,Win,30-120 sec,2+ hour,7.9,19.6,38,21766.5,21768.25,2025-02-06 20:14:46,2025-02-06 20:15:25
1,NQ,Short,40.27,2.25,Win,0-30 sec,2+ hour,7.7,20.0,10,21782.75,21785.0,2025-02-06 20:18:12,2025-02-06 20:18:02
1,NQ,Long,-4.74,0.0,Breakeven,0-30 sec,2+ hour,6.9,18.5,14,21824.25,21824.25,2025-02-06 22:11:07,2025-02-06 22:11:21
1,NQ,Long,60.27,3.25,Win,30-120 sec,2+ hour,6.9,18.5,35,21823.0,21826.25,2025-02-06 22:11:30,2025-02-06 22:12:05
1,MNQ,Short,95.44,48.5,Win,5+ min,0-30 min,15.4,28.4,485,21904.0,21952.5,2025-02-07 17:57:19,2025-02-07 17:49:14
